2015-06-30 17:37:35,626 - __main__ - INFO - Accuracy: 0.805013927577, Macro_F score: 0.797687861272, Precision: 0.841463414634, Recall: 0.758241758242; Test data size: 359
2015-06-30 18:13:18,427 - analysis - INFO - Accuracy: 0.805013927577, Macro_F score: 0.797687861272, Precision: 0.841463414634, Recall: 0.758241758242; Test data size: 359
2015-06-30 19:54:21,119 - __main__ - INFO - Accuracy: 0.805013927577, Macro_F score: 0.797687861272, Precision: 0.841463414634, Recall: 0.758241758242; Test data size: 359
2015-06-30 19:56:16,285 - __main__ - INFO - Accuracy: 0.493036211699, Macro_F score: 0.0, Precision: 0.0, Recall: 0.0; Test data size: 359
2015-06-30 19:58:35,977 - __main__ - INFO - Accuracy: 0.768802228412, Macro_F score: 0.764872521246, Precision: 0.789473684211, Recall: 0.741758241758; Test data size: 359
2015-06-30 20:07:35,806 - __main__ - INFO - Accuracy: 0.768802228412, Macro_F score: 0.764872521246, Precision: 0.789473684211, Recall: 0.741758241758; Test data size: 359
2015-06-30 20:14:49,646 - __main__ - INFO - Accuracy: 0.791086350975, Macro_F score: 0.794520547945, Precision: 0.792349726776, Recall: 0.796703296703; Test data size: 359
2015-06-30 20:25:35,343 - __main__ - INFO - Accuracy: 0.66295264624, Macro_F score: 0.68407310705, Precision: 0.651741293532, Recall: 0.71978021978; Test data size: 359
2015-06-30 20:28:49,154 - __main__ - INFO - Accuracy: 0.66295264624, Macro_F score: 0.68407310705, Precision: 0.651741293532, Recall: 0.71978021978; Test data size: 359
2015-06-30 20:29:56,620 - __main__ - INFO - Accuracy: 0.551532033426, Macro_F score: 0.504615384615, Precision: 0.573426573427, Recall: 0.450549450549; Test data size: 359
2015-06-30 20:30:29,000 - __main__ - INFO - Accuracy: 0.523676880223, Macro_F score: 0.41638225256, Precision: 0.54954954955, Recall: 0.335164835165; Test data size: 359
2015-06-30 20:30:59,384 - __main__ - INFO - Accuracy: 0.532033426184, Macro_F score: 0.461538461538, Precision: 0.553846153846, Recall: 0.395604395604; Test data size: 359
2015-06-30 20:31:50,485 - __main__ - INFO - Accuracy: 0.534818941504, Macro_F score: 0.671905697446, Precision: 0.522935779817, Recall: 0.93956043956; Test data size: 359
2015-06-30 20:32:11,170 - __main__ - INFO - Accuracy: 0.534818941504, Macro_F score: 0.671905697446, Precision: 0.522935779817, Recall: 0.93956043956; Test data size: 359
2015-07-01 14:03:09,148 - __main__ - INFO - Accuracy: 0.688022284123, Macro_F score: 0.681818181818, Precision: 0.705882352941, Recall: 0.659340659341; Test data size: 359
2015-07-01 14:04:48,911 - analysis - INFO - Accuracy: 0.66573816156, Macro_F score: 0.640718562874, Precision: 0.703947368421, Recall: 0.587912087912; Test data size: 359
2015-07-01 14:06:46,708 - analysis - INFO - Accuracy: 0.629526462396, Macro_F score: 0.688524590164, Precision: 0.6, Recall: 0.807692307692; Test data size: 359
2015-07-01 14:08:45,857 - analysis - INFO - Accuracy: 0.688022284123, Macro_F score: 0.681818181818, Precision: 0.705882352941, Recall: 0.659340659341; Test data size: 359
2015-07-01 14:09:28,339 - analysis - INFO - Accuracy: 0.738161559889, Macro_F score: 0.738888888889, Precision: 0.747191011236, Recall: 0.730769230769; Test data size: 359
2015-07-01 14:10:12,278 - analysis - INFO - Accuracy: 0.74930362117, Macro_F score: 0.748603351955, Precision: 0.761363636364, Recall: 0.736263736264; Test data size: 359
2015-07-01 14:11:32,433 - analysis - INFO - Accuracy: 0.757660167131, Macro_F score: 0.761643835616, Precision: 0.75956284153, Recall: 0.763736263736; Test data size: 359
2015-07-01 14:11:46,979 - analysis - INFO - Accuracy: 0.757660167131, Macro_F score: 0.761643835616, Precision: 0.75956284153, Recall: 0.763736263736; Test data size: 359
2015-07-01 14:17:30,219 - analysis - INFO - Accuracy: 0.688022284123, Macro_F score: 0.681818181818, Precision: 0.705882352941, Recall: 0.659340659341; Test data size: 359
2015-07-01 14:18:25,300 - analysis - INFO - Accuracy: 0.740947075209, Macro_F score: 0.740947075209, Precision: 0.751412429379, Recall: 0.730769230769; Test data size: 359
2015-07-01 14:18:29,461 - analysis - INFO - Accuracy: 0.74930362117, Macro_F score: 0.748603351955, Precision: 0.761363636364, Recall: 0.736263736264; Test data size: 359
2015-07-01 14:18:32,599 - analysis - INFO - Accuracy: 0.757660167131, Macro_F score: 0.761643835616, Precision: 0.75956284153, Recall: 0.763736263736; Test data size: 359
2015-07-01 14:19:14,850 - analysis - INFO - Accuracy: 0.757660167131, Macro_F score: 0.759002770083, Precision: 0.765363128492, Recall: 0.752747252747; Test data size: 359
2015-07-01 14:19:24,883 - analysis - INFO - Accuracy: 0.771587743733, Macro_F score: 0.774725274725, Precision: 0.774725274725, Recall: 0.774725274725; Test data size: 359
2015-07-01 14:19:33,374 - analysis - INFO - Accuracy: 0.782729805014, Macro_F score: 0.785714285714, Precision: 0.785714285714, Recall: 0.785714285714; Test data size: 359
2015-07-01 14:19:41,911 - analysis - INFO - Accuracy: 0.779944289694, Macro_F score: 0.782369146006, Precision: 0.78453038674, Recall: 0.78021978022; Test data size: 359
2015-07-01 14:19:51,033 - analysis - INFO - Accuracy: 0.782729805014, Macro_F score: 0.783333333333, Precision: 0.792134831461, Recall: 0.774725274725; Test data size: 359
2015-07-01 14:20:01,452 - analysis - INFO - Accuracy: 0.791086350975, Macro_F score: 0.792243767313, Precision: 0.798882681564, Recall: 0.785714285714; Test data size: 359
2015-07-01 14:23:23,411 - analysis - INFO - Accuracy: 0.793871866295, Macro_F score: 0.794444444444, Precision: 0.803370786517, Recall: 0.785714285714; Test data size: 359
2015-07-01 14:23:28,698 - analysis - INFO - Accuracy: 0.782729805014, Macro_F score: 0.782122905028, Precision: 0.795454545455, Recall: 0.769230769231; Test data size: 359
2015-07-01 14:24:36,043 - analysis - INFO - Accuracy: 0.782729805014, Macro_F score: 0.782122905028, Precision: 0.795454545455, Recall: 0.769230769231; Test data size: 359
2015-07-01 14:24:52,528 - analysis - INFO - Accuracy: 0.788300835655, Macro_F score: 0.788888888889, Precision: 0.797752808989, Recall: 0.78021978022; Test data size: 359
2015-07-01 14:45:44,517 - analysis - INFO - Accuracy: 0.757660167131, Macro_F score: 0.759002770083, Precision: 0.765363128492, Recall: 0.752747252747; Test data size: 359
